Apa kabar	Narai kabar
apa katanya 	Narai kua
aku pulang	aku buli
aku sedang belajar	aku lagih belajar
aku mau makan	aku handak kuman
aku datang 	aku dumah
aku pergi	aku tulak
aku sudah menjawab pertanyaan	aku jadi manjawab pertanyaan
aku suka kamu	aku handak dengam
aku mimpi tadi malam	aku manupi alem ndau
aku ini siapa	aku toh eweh
aku mau minum	aku handak mihup
saya pergi kepasar	aku tulak akan pasar
ibu pergi kepasar	umai tulak akan pasar
ibu membeli beras	umai mamili behas
ayah sedang bekerja	apang lagih bagawi
ibu sedang membersihkan rumah	umai lagih marasih huma 
ibu sedang memasak	umai lagih bamasak
ibu sedang mencuci	umai lagih 
satu,dua,tiga,empat,lima,enam,tujuh, delapan,sembilan, sepuluh	ije,due,telo,epat,lime,jahawen,uju,hanya,jalatien,sapuluh
seratus	ije ratus
saribu	ije kuyan
kapan nikah	pea kawin
kamu tinggal dimana	ikau melai hang kueh
berapa anak mu	pire anak muh
bagaimana caranya bisa memasak	kinampih cara tau bamasak
aku mau kesana	aku handak kan hekaw
jangan tinggalkan aku	ela malihi aku
ibu merebus mie	umai maluntuh mie
mati lampu	matei lampu
dari mana kamu	bara kueh ikau
aku cinta kamu	aku sinta dengam 
jangan takut	ela mikeh
aku ingin jadi presiden	aku handak jadi presiden
aku sayang kamu	aku sayang ikau
ayo bermain sepakbola di lapangan	yo main sepakbola melai lapangan
kenapa badanmu terlalu kecil	buhen bitim kurik
kenapa badan mu terlalu besar	buhen bitim hai
lama tak bertemu	tahi dia hasupa
apa kerjaan kalian	narai gawin ketun 
aku buka tutup botol	aku mukei tutup botol
selamat hari minggu	salamat andau minggu
selamat hari senin	salamat andau senin
selamat hari selasa	salamat andau salasa
selamat hari rabu	salamat andau raba
selamat hari kamis	salamat andau kamis
selamat hari jumat	salamat andau jumahat
selamat hari sabtu	salamat andau sabtu
selamat sore	salamat halemei
selamat malam	salamat hamalem
selamat pagi	salamat hanjewu
tolong aku	dohop aku
kamu harus sabar	ikau harus sabar
kamu bodoh	ikau humung
siapa namamu	eweh aram
siapa nama ayahmu	eweh aram bapam
siapa nama ibumu	eweh aram indum
siapa nama anakmu	eweh aran anakmuh
siapa nama nenekmu	eweh aran tambim
siapa nama kakakmu	eweh aran buem
aku mau beli beras	aku handak mili behas
aku mau beli baju	aku handak mili baju
jangan main hape terus	ela musik hape tarus
bantu orang tua mu	duhup uluh bakas muh
aku belajar berenang  	aku balajar hanangui
aku mau berangkat ke sekolah	aku handak tulak kan sakula
mau makan dulu	handak kuman helu
ibu masak ikan goreng	umai bamasak lauk goreng
aku kangen kamu	aku taharu dengam
bantu angkat barang	dohop metun barang
aku mau pinjam uang	aku handak minjam duit
jangan iri ya	ela bahiri lah
aku mau naik pesawat	aku handak mandai pasawat
aku mau turun dari lift	aku handak muhun bara lift
sudah busuk buah itu	jadi maram bua jikau
aku mau minta tolong	aku handak balaku dohop
darimana asalmu	bara kueh asal muh
kamu orang mana	uluh kueh ikau
aku masih muda dan ganteng	aku masih tabela dengan bakena
aku masih muda dan cantik	aku masih tabela dengan bawi bakena
aku tangkap anjing	aku manekap asu
jangan malas ya	ela kadian lah
besok kita turun sekolah	jewu itah muhun sakula
ayo bicara	yu bapander
kamu sudah makan	jadi ikau kuman
besok kita berangkat ke sekolah	jewu itah tulak kan sakula
jangan malas	ela kadian 
bantu aku	dohop aku
Bagaimana kehidupan	kenampi belum
aku minta maaf	aku balaku maaf
doakan saya	doa aku
siapa namamu	eweh aram
aku sedang tidak enak badan	aku lagih dia mangat biti
aku lapar	aku balau
aku mau tidur	aku handak batiruh
tetap semangat	tatap samangat
aku sedang beribadah	aku lagih sembahyang
aku naik pohon	aku mandai upun
coba kulihat	coba kuture
kamu ganteng	ikau bakena
kamu cantik	ikau bawi lamus
kita kalah	itah kalah
kita menang	itah menang
Aku punya rencana	Aku tege rencana 
aku tahu	tawangkuih
lanjutkan	lanjut ih
saya melihat	aku ture
aku coba	aku coba
saya menang	aku menang
masuklah	tame bei
peluk aku	maluk aku
saya merasa	aku keme
aku tersesat	aku layang
aku sudah bayar	aku jadi bayar
kita coba	itah coba
kita menang	itah manang
kita kalah	itah kalah
tenang	tanang
adil	adil
bersikaplah dengan baik	basikap dengan bahalap
panggil aku	tehau aku
hubungi kami	hubung ikei
pulang kerumah	buli kan huma
pergi lambat	tulak lambat
selamat tinggal	salamat tinggal
tunggu sebentar	nunggu sanjulun
dia berhenti	ie tende
dia lari	ie hadari
bantu kami	dohop ikei
saya setuju	aku satuju
saya menangis	aku menangis
saya tertidur	aku tapatiruh
saya menyetir	aku manyetir
saya merokok	aku maroko
saya mendengkur	aku mangerok
saya bau	aku bahewau
saya berdiri	aku mendeng
saya bersumpah	aku basumpah
saya mencoba	aku mancoba
saya melambai	aku mangipai
saya gemuk	aku baseput
bergabunglah dengan kami	hagabung dengan ikei
cium aku	nyium aku
simpan saja	ingkes ih
tunjukkan padaku	parahan akangkuh
ceritakan padaku	ngesah akangkuh
selamat datang	Salamat Dumah
angkat bicara	angkat pander
ikuti aku	nuntut aku
Jangan berlari	ela hadari
jangan bertanya	ela misek
jangan mati	ela matei
permisi mau nanya	permisi handak misek
jangan menangis	ela manangis
mendapatkan pekerjaan	dinu gawian
semoga beruntung 	mundahan barazaki
aku sedang sibuk 	aku lagih deruh
aku tenang	aku tanang
aku dingin	aku sadingen
saya disini	aku hong hetuh
saya sakit	aku badarem
saya yakin	aku yakin
saya lemah	aku balemu
saya minta mohon padamu	aku balaku mohon dengam 
saya bisa berlari	aku tau hadari
saya bernapas 	aku nahaseng
saya menyerah	aku manyarah
saya berharap begitu	aku harap kalote
saya tahu itu	aku tawangkuih jikau
saya harus pergi	aku harus buli
saya berjanji	aku bajanji
saya lelah	aku uyuh
saya tangguh	aku tangguh
saya sadar	aku sadar
aku siap	aku siap
apa itu buruk	narai jikau papa
apakah panas	narai kah balasut
aku milikmu	aku ayum
itu gagal	jikau gagal
ini baru	jituh haru
ini lama	jituh tahi
baru saja	haru ih
itu bau	bahewau jikau
tidak apa-apa	dia nrai ih
ini bekerja	jituh bakerja
itu berhasil	jikau bahasil
ini dingin	jituh sandingen
ini gelap	jituh kaput
ini mati	jituh matei
ini selesai	jituh jadi
ini makanan	jituh panginan
ini gratis saja	jituh gratis
itu disini	jikau hetuh
itu hilang	jikau nihau
biarkan aku pergi	biar ih aku tulak
biarkan aku masuk	biar ih aku tame
sudah makan	jadi kuman
ayo makan	yo kuman
berbaring diam	menter benyem
melihat kebelakang	nanture kalikut
melihat keatas	nanture kan hunjun
lihat disini	ture hetuh
lihat di atas	ture kan hunjan
lihat dibawah	ture kan penda
tangkap dia	nekap ie
dia menangis	ie manangis
dia berjalan	ie mananjung
tanda tangan	tanda lenge
pelan-pelan	rangkah-rangkah
tinggal disini	melai hetuh
tetap dibawah	tatap melai penda
tetap disini	tatap melai hetuh
hati-hati dijalan	babuah melai jalan
ambil punyaku	nduan ayungkuh
ambil ini	nduan jituh
terima kasih	tarima kasih
mereka jatuh	ewen manjatu
mereka meninggalkan	ewen malihi
mereka berbohong	ewen nanjaru
mereka tersesat	ewen layang
mereka berenang	ewen hanangui
coba lagi	coba hindai
belok kiri	belok sambil
belok kanan	belok gantau
tunggu disini	nunggu hetuh
kami setuju	ikei satuju
kami tidak setuju	ikei dia satuju
kita berhasil	ikei bahasil
kami lupa	ikei dia bingat
kami melihatnya	ikei ture
kami tersenyum	ikei senyum
kami tertawa	ikei tatawe
kami berjalan	ikei mananjung
kami menunggu lama	ikei manunggu tahi
kami pasti menang	ikei pasti manang
kami pasti kalah	ikei pasti kalah
kami panas	ikei balasut
kami malu	ikei mahamen
siapa peduli	eweh paduli
siapa dia	eweh ie
siapa itu	eweh jite
siapa tahu	tahu
siapa yang berbicara	eweh ji bapander
siapa yang akan pergi	eweh ji tulak
kamu didepan	ikau melai baun
kamu sudah bangun	ikau jadi misik
tepat waktu	tapat waktu
bawa makanan	imbit panginan
bawa air minum	imbit danum mihup
